region,ruta,nombre,extension,tamano_bytes,tamano_h,tipo_detectado,idioma,serie,volumen,numero,patron,autor_carpeta,autores,formato
AMERICANO,/Volumes/AMERICA/AMERICANO/Ash Maczko/Squarriors (Ash Maczko & Ashley Witter)/Squarriors Vol.1 #01 (Ash Maczko & Ashley Witter).cbr,Squarriors Vol.1 #01 (Ash Maczko & Ashley Witter).cbr,.cbr,41666946,39.7 MB,desconocido,,Squarriors Vol.1 #01,,,solo_nombre,Ash Maczko,Ash Maczko ; Ashley Witter,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Ash Maczko/Squarriors (Ash Maczko & Ashley Witter)/Squarriors Vol.1 #02 (Ash Maczko & Ashley Witter).cbr,Squarriors Vol.1 #02 (Ash Maczko & Ashley Witter).cbr,.cbr,36367798,34.7 MB,desconocido,,Squarriors Vol.1 #02,,,solo_nombre,Ash Maczko,Ash Maczko ; Ashley Witter,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Ash Maczko/Squarriors (Ash Maczko & Ashley Witter)/Squarriors Vol.1 #03 (Ash Maczko & Ashley Witter).cbr,Squarriors Vol.1 #03 (Ash Maczko & Ashley Witter).cbr,.cbr,26429691,25.2 MB,desconocido,,Squarriors Vol.1 #03,,,solo_nombre,Ash Maczko,Ash Maczko ; Ashley Witter,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Ash Maczko/Squarriors (Ash Maczko & Ashley Witter)/Squarriors Vol.1 #04 (Ash Maczko & Ashley Witter).cbr,Squarriors Vol.1 #04 (Ash Maczko & Ashley Witter).cbr,.cbr,27798024,26.5 MB,desconocido,,Squarriors Vol.1 #04,,,solo_nombre,Ash Maczko,Ash Maczko ; Ashley Witter,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Aubrey Sitterson/The Worst Dudes (Aubrey Sitterson & Tony Gregori) [5]/The Worst Dudes #01 (Aubrey Sitterson & Tony Gregori).cbr,The Worst Dudes #01 (Aubrey Sitterson & Tony Gregori).cbr,.cbr,41759960,39.8 MB,desconocido,,The Worst Dudes #01,,,solo_nombre,Aubrey Sitterson,Aubrey Sitterson ; Tony Gregori,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Aubrey Sitterson/The Worst Dudes (Aubrey Sitterson & Tony Gregori) [5]/The Worst Dudes #02 (Aubrey Sitterson & Tony Gregori).cbr,The Worst Dudes #02 (Aubrey Sitterson & Tony Gregori).cbr,.cbr,41482615,39.6 MB,desconocido,,The Worst Dudes #02,,,solo_nombre,Aubrey Sitterson,Aubrey Sitterson ; Tony Gregori,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Aubrey Sitterson/The Worst Dudes (Aubrey Sitterson & Tony Gregori) [5]/The Worst Dudes #03 (Aubrey Sitterson & Tony Gregori).cbr,The Worst Dudes #03 (Aubrey Sitterson & Tony Gregori).cbr,.cbr,39060145,37.3 MB,desconocido,,The Worst Dudes #03,,,solo_nombre,Aubrey Sitterson,Aubrey Sitterson ; Tony Gregori,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Audrey Niffenegger/Amores extraños (Audrey Niffenegger & Eddie Campbell).cbr,Amores extraños (Audrey Niffenegger & Eddie Campbell).cbr,.cbr,81146448,77.4 MB,desconocido,,Amores extraños,,,solo_nombre,Audrey Niffenegger,Audrey Niffenegger ; Eddie Campbell,obra_completa
AMERICANO,/Volumes/AMERICA/AMERICANO/AutobioGraphix (Varios)/AutobioGraphix (Varios).cbz,AutobioGraphix (Varios).cbz,.cbz,108702922,103.7 MB,desconocido,,AutobioGraphix,,,solo_nombre,AutobioGraphix (Varios),Varios,obra_completa
AMERICANO,/Volumes/AMERICA/AMERICANO/Axelle Lenoir/El espíritu del bosque (Axelle Lenoir)/El espíritu del bosque #01 (Axelle Lenoir).cbr,El espíritu del bosque #01 (Axelle Lenoir).cbr,.cbr,55081986,52.5 MB,desconocido,,El espíritu del bosque #01,,,solo_nombre,Axelle Lenoir,Axelle Lenoir,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Axelle Lenoir/El espíritu del bosque (Axelle Lenoir)/El espíritu del bosque #02 (Axelle Lenoir).cbr,El espíritu del bosque #02 (Axelle Lenoir).cbr,.cbr,59126693,56.4 MB,desconocido,,El espíritu del bosque #02,,,solo_nombre,Axelle Lenoir,Axelle Lenoir,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/B. Clay Moore/Hawaiian Dick #01-03 (B. Clay Moore & Steve Griffin).cbr,Hawaiian Dick #01-03 (B. Clay Moore & Steve Griffin).cbr,.cbr,69498499,66.3 MB,desconocido,,Hawaiian Dick #01-03,,,solo_nombre,B. Clay Moore,B. Clay Moore ; Steve Griffin,recopilatorio_rango
AMERICANO,/Volumes/AMERICA/AMERICANO/B. Clay Moore/El Protagonista The Leading Man (B. Clay Moore & J.Haun)/El Protagonista The Leading Man #01 (B.Clay Moore & J.Haun).cbr,El Protagonista The Leading Man #01 (B.Clay Moore & J.Haun).cbr,.cbr,15995455,15.3 MB,desconocido,,El Protagonista The Leading Man #01,,,solo_nombre,B. Clay Moore,B.Clay Moore ; J.Haun,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/B. Clay Moore/El Protagonista The Leading Man (B. Clay Moore & J.Haun)/El Protagonista The Leading Man #02 (B.Clay Moore & J.Haun).cbr,El Protagonista The Leading Man #02 (B.Clay Moore & J.Haun).cbr,.cbr,20210880,19.3 MB,desconocido,,El Protagonista The Leading Man #02,,,solo_nombre,B. Clay Moore,B.Clay Moore ; J.Haun,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/B. Clay Moore/El Protagonista The Leading Man (B. Clay Moore & J.Haun)/El Protagonista The Leading Man #03 (B.Clay Moore & J.Haun).cbr,El Protagonista The Leading Man #03 (B.Clay Moore & J.Haun).cbr,.cbr,19827131,18.9 MB,desconocido,,El Protagonista The Leading Man #03,,,solo_nombre,B. Clay Moore,B.Clay Moore ; J.Haun,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/B. Clay Moore/El Protagonista The Leading Man (B. Clay Moore & J.Haun)/El Protagonista The Leading Man #04 (B.Clay Moore & J.Haun).cbr,El Protagonista The Leading Man #04 (B.Clay Moore & J.Haun).cbr,.cbr,22031317,21.0 MB,desconocido,,El Protagonista The Leading Man #04,,,solo_nombre,B. Clay Moore,B.Clay Moore ; J.Haun,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/B. Clay Moore/El Protagonista The Leading Man (B. Clay Moore & J.Haun)/El Protagonista The Leading Man #05 (B.Clay Moore & J.Haun).cbr,El Protagonista The Leading Man #05 (B.Clay Moore & J.Haun).cbr,.cbr,20557888,19.6 MB,desconocido,,El Protagonista The Leading Man #05,,,solo_nombre,B. Clay Moore,B.Clay Moore ; J.Haun,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Bad Idea (Varios)/Bad Idea (Varios).cbr,Bad Idea (Varios).cbr,.cbr,344514662,328.6 MB,desconocido,,Bad Idea,,,solo_nombre,Bad Idea (Varios),Varios,obra_completa
AMERICANO,/Volumes/AMERICA/AMERICANO/Barbara Kesel/Savant Garde (Barbara Kesel & Ryan Odagawa)/Savant Garde #01 (Barbara Kesel & Ryan Odagawa).cbr,Savant Garde #01 (Barbara Kesel & Ryan Odagawa).cbr,.cbr,13281781,12.7 MB,desconocido,,Savant Garde #01,,,solo_nombre,Barbara Kesel,Barbara Kesel ; Ryan Odagawa,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Barbara Kesel/Savant Garde (Barbara Kesel & Ryan Odagawa)/Savant Garde #02 (Barbara Kesel & Ryan Odagawa).cbr,Savant Garde #02 (Barbara Kesel & Ryan Odagawa).cbr,.cbr,19348979,18.5 MB,desconocido,,Savant Garde #02,,,solo_nombre,Barbara Kesel,Barbara Kesel ; Ryan Odagawa,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Barbara Kesel/Savant Garde (Barbara Kesel & Ryan Odagawa)/Savant Garde #03 (Barbara Kesel & Ryan Odagawa).cbr,Savant Garde #03 (Barbara Kesel & Ryan Odagawa).cbr,.cbr,11344308,10.8 MB,desconocido,,Savant Garde #03,,,solo_nombre,Barbara Kesel,Barbara Kesel ; Ryan Odagawa,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Barbara Kesel/Savant Garde (Barbara Kesel & Ryan Odagawa)/Savant Garde #04 (Barbara Kesel & Ryan Odagawa).cbr,Savant Garde #04 (Barbara Kesel & Ryan Odagawa).cbr,.cbr,11250458,10.7 MB,desconocido,,Savant Garde #04,,,solo_nombre,Barbara Kesel,Barbara Kesel ; Ryan Odagawa,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Barbara Kesel/Savant Garde (Barbara Kesel & Ryan Odagawa)/Savant Garde #05 (Barbara Kesel & Ryan Odagawa).cbr,Savant Garde #05 (Barbara Kesel & Ryan Odagawa).cbr,.cbr,10440570,10.0 MB,desconocido,,Savant Garde #05,,,solo_nombre,Barbara Kesel,Barbara Kesel ; Ryan Odagawa,numero_suelto
AMERICANO,/Volumes/AMERICA/AMERICANO/Barbara Kesel/Savant Garde (Barbara Kesel & Ryan Odagawa)/Savant Garde #06 (Barbara Kesel & Ryan Odagawa).cbr,Savant Garde #06 (Barbara Kesel & Ryan Odagawa).cbr,.cbr,11302048,10.8 MB,desconocido,,Savant Garde #06,,,solo_nombre,Barbara Kesel,Barbara Kesel ; Ryan Odagawa,numero_suelto
